,loan_amnt,term,int_rate,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,repay_fail,credit_age_yrs
6448,5000,36 months,14.26,1 year,RENT,40000,Not Verified,Nov-09,debt_consolidation,020xx,MA,1.65,0,Jun-05,0,4,0,5536,0.728,4,0,4.434065934
6449,7500,36 months,11.83,4 years,RENT,75000,Not Verified,Dec-09,debt_consolidation,916xx,CA,18.88,1,Nov-01,2,10,0,8652,0.296,22,0,8.10989011
6450,35000,36 months,18.64,< 1 year,RENT,150000,Verified,Sep-11,debt_consolidation,951xx,CA,14.12,0,Feb-04,1,3,0,30739,0.931,12,0,7.607142857
6451,15000,60 months,20.3,6 years,MORTGAGE,95000,Verified,Dec-11,other,442xx,OH,15.15,0,Sep-03,0,10,0,16323,0.71,15,0,8.277472527
6452,6000,60 months,11.49,4 years,MORTGAGE,72000,Source Verified,May-11,car,352xx,AL,3.17,0,Aug-02,1,7,0,39098,0.897,15,0,8.777472527
6453,25000,36 months,11.99,9 years,MORTGAGE,145000,Verified,May-11,debt_consolidation,018xx,MA,11.23,0,Jun-81,2,14,0,16508,0.652,24,0,30.01648352
6454,16000,60 months,14.79,4 years,RENT,2.00E+05,Source Verified,Jun-11,wedding,073xx,NJ,5.26,0,Oct-00,1,10,0,32710,0.79,22,0,10.70054945
6455,8000,36 months,9.63,2 years,MORTGAGE,44000,Verified,Jan-11,credit_card,662xx,KS,11.32,0,Sep-97,1,7,0,4780,0.556,19,0,13.37912088
6456,15000,36 months,13.49,10+ years,MORTGAGE,72000,Not Verified,Sep-11,debt_consolidation,566xx,MN,17.87,1,May-95,0,16,0,21413,0.808,28,0,16.39285714
6457,5000,36 months,11.86,3 years,RENT,57312,Not Verified,Jul-10,debt_consolidation,980xx,WA,3.85,0,Feb-05,0,3,0,6272,0.536,3,0,5.428571429
6458,20000,36 months,11.12,4 years,RENT,1.00E+05,Source Verified,Oct-10,major_purchase,112xx,NY,7.68,0,Oct-99,1,6,0,3280,0.656,24,0,11.03846154
6459,11000,60 months,17.58,3 years,RENT,37000,Not Verified,Sep-11,debt_consolidation,061xx,CT,20.46,1,Aug-97,1,7,0,12444,0.864,15,1,14.13186813
6460,6000,36 months,13.57,1 year,RENT,65000,Verified,Dec-09,car,972xx,OR,8.81,3,Mar-99,5,7,0,54,0.036,15,0,10.79120879
6461,2400,36 months,10.2,< 1 year,RENT,14000,Not Verified,Nov-08,educational,912xx,CA,0.86,0,Jan-04,1,4,0,185,0.017,6,0,4.851648352
6462,6400,36 months,8.32,< 1 year,OWN,40000,Not Verified,Sep-08,debt_consolidation,105xx,NY,13.02,0,Jun-91,0,6,0,12183,0.451,24,0,17.31318681
6463,8000,36 months,11.14,10+ years,MORTGAGE,3.00E+05,Not Verified,Oct-08,credit_card,337xx,FL,17.54,0,Oct-94,4,9,0,255001,0.918,25,0,14.04945055
6464,10750,36 months,6.17,4 years,MORTGAGE,80000,Verified,Dec-10,debt_consolidation,935xx,CA,15.94,0,Aug-99,1,10,0,18155,0.341,27,0,11.37362637
6465,2400,36 months,13.06,10+ years,MORTGAGE,105000,Verified,Mar-11,debt_consolidation,925xx,CA,16.3,0,Jul-97,3,9,0,9107,0.979,21,0,13.71153846
6466,15000,36 months,11.11,5 years,MORTGAGE,74000,Not Verified,Mar-11,debt_consolidation,481xx,MI,7.7,0,Nov-95,1,11,0,9332,0.639,35,0,15.38186813
6467,21000,60 months,13.49,4 years,MORTGAGE,60000,Source Verified,Dec-11,home_improvement,114xx,NY,11.34,0,Apr-00,0,10,0,8512,0.535,21,0,11.70604396
6468,7500,36 months,11.36,3 years,RENT,62000,Not Verified,Feb-10,debt_consolidation,752xx,TX,14.83,0,Nov-01,0,4,0,0,0.2632,11,0,8.28021978
6469,18000,60 months,16.77,3 years,RENT,92900,Verified,Mar-11,debt_consolidation,100xx,NY,14.24,0,Jun-92,0,6,0,9429,0.655,12,0,18.81043956
6470,5000,36 months,8.88,2 years,MORTGAGE,39956,Not Verified,Dec-10,debt_consolidation,275xx,NC,5.89,0,Jun-00,0,6,0,61604,0.706,18,0,10.53571429
6471,10000,60 months,19.74,6 years,RENT,54777,Source Verified,Mar-11,small_business,451xx,OH,10.19,0,May-98,1,10,0,11942,0.766,13,0,12.87637363
6472,28000,60 months,10.65,5 years,RENT,64936,Source Verified,Dec-11,debt_consolidation,912xx,CA,8.91,0,Sep-83,0,7,0,13595,0.621,22,0,28.34615385
6473,10000,60 months,11.86,10+ years,MORTGAGE,78000,Source Verified,Aug-10,debt_consolidation,313xx,GA,13.02,0,Nov-84,0,6,0,9716,0.709,20,0,25.83516484
6474,4800,36 months,12.42,5 years,RENT,42000,Not Verified,Nov-11,moving,111xx,NY,5.31,0,Dec-07,0,8,0,5093,0.48,11,0,3.931318681
6475,20000,60 months,14.27,10+ years,RENT,55000,Verified,Oct-11,debt_consolidation,015xx,MA,26.4,0,Dec-94,2,6,0,13440,0.902,18,0,16.89010989
6476,18000,36 months,17.19,2 years,RENT,59000,Verified,Apr-10,debt_consolidation,801xx,CO,12.69,0,Jul-03,1,34,0,14308,0.255,43,0,6.774725275
6477,15000,36 months,5.79,6 years,MORTGAGE,45600,Verified,Dec-10,home_improvement,117xx,NY,19.92,0,Jan-92,1,21,0,10970,0.154,52,0,18.98076923
6478,5000,60 months,17.49,3 years,RENT,28800,Source Verified,Jul-11,car,178xx,PA,16.71,0,Oct-03,1,6,0,2023,0.2,15,1,7.774725275
6479,35000,60 months,15.23,9 years,MORTGAGE,163000,Verified,Aug-11,debt_consolidation,105xx,NY,3.7,0,Nov-03,2,14,0,47644,0.397,26,0,7.774725275
6480,6000,60 months,7.88,n/a,MORTGAGE,12000,Not Verified,Sep-10,car,317xx,GA,13.5,0,Dec-97,2,9,0,2733,0.093,28,1,12.79395604
6481,15850,60 months,13.8,1 year,MORTGAGE,55680,Source Verified,Feb-11,car,450xx,OH,25.02,0,Dec-83,2,17,0,28038,0.446,32,0,27.26373626
6482,12500,36 months,12.87,< 1 year,RENT,54996,Verified,Sep-09,credit_card,108xx,NY,17.61,0,Feb-04,2,14,0,13441,0.494,19,0,5.601648352
6483,5000,36 months,6.17,< 1 year,RENT,40000,Not Verified,Nov-10,vacation,900xx,CA,11.82,0,Oct-98,0,5,0,1379,0.511,10,0,12.12637363
6484,7500,36 months,14.5,10+ years,MORTGAGE,150000,Not Verified,Jul-08,debt_consolidation,980xx,WA,26.27,0,Aug-94,2,17,0,91148,0.954,25,0,13.96428571
6485,10000,36 months,7.29,3 years,MORTGAGE,65000,Not Verified,Apr-11,debt_consolidation,141xx,NY,15.32,0,Mar-88,0,7,1,7431,0.619,21,0,23.16208791
6486,9100,36 months,6.03,10+ years,MORTGAGE,42000,Source Verified,Sep-11,house,168xx,PA,14.66,1,Dec-73,1,18,0,4315,0.082,43,0,37.87912088
6487,5000,36 months,12.69,10+ years,RENT,43200,Not Verified,Sep-11,major_purchase,928xx,CA,9.39,0,May-98,3,7,0,8359,0.597,15,0,13.38186813
6488,12000,36 months,12.53,1 year,RENT,51500,Not Verified,Nov-09,debt_consolidation,532xx,WI,9.27,0,Oct-90,0,3,0,9087,0.308,3,0,19.1510989
6489,3700,60 months,16.45,2 years,RENT,50001.56,Not Verified,May-10,other,752xx,TX,21.73,0,Sep-94,2,8,0,17546,0.798,29,1,15.71703297
6490,10625,36 months,11.14,4 years,RENT,117000,Verified,Jun-11,debt_consolidation,902xx,CA,6.33,1,Apr-00,0,11,0,13657,0.299,25,0,11.2032967
6491,20000,60 months,9.99,10+ years,MORTGAGE,65000,Verified,Oct-10,debt_consolidation,151xx,PA,16.47,0,Dec-88,0,10,0,28542,0.62,39,0,21.90659341
6492,12000,36 months,6.03,4 years,RENT,85000,Not Verified,Oct-11,credit_card,170xx,PA,8.14,0,Aug-89,0,7,0,29650,0.319,24,0,22.24175824
6493,5000,36 months,7.14,2 years,RENT,55000,Source Verified,Mar-10,other,100xx,NY,3.21,0,Sep-99,0,7,0,4877,0.072,10,0,10.53296703
6494,5000,36 months,11.36,10+ years,RENT,59800,Not Verified,Apr-10,debt_consolidation,563xx,MN,17.56,0,Jan-98,2,8,0,10820,0.226,19,0,12.28846154
6495,2000,36 months,13.11,3 years,RENT,23040,Not Verified,Mar-10,other,200xx,DC,15,0,Feb-89,1,4,0,468,0.936,9,0,21.14835165
6496,1000,60 months,16.77,4 years,RENT,13000,Source Verified,Apr-11,debt_consolidation,913xx,CA,15.6,0,Jun-07,1,4,0,546,0.546,5,0,3.846153846
6497,10400,36 months,6.17,4 years,RENT,51000,Verified,Nov-10,debt_consolidation,940xx,CA,17.67,0,Dec-95,0,5,0,7381,0.234,9,0,14.96978022
6498,6500,36 months,11.89,6 years,RENT,21000,Verified,Feb-09,debt_consolidation,087xx,NJ,8.57,0,Apr-00,1,8,0,9317,0.536,10,1,8.868131868
6499,32000,60 months,11.99,7 years,RENT,52500,Verified,Sep-11,debt_consolidation,920xx,CA,15.54,0,Nov-99,0,4,0,20021,0.62,11,0,11.87362637
6500,35000,60 months,20.25,10+ years,MORTGAGE,86400,Verified,Jun-11,debt_consolidation,891xx,NV,19.79,0,Feb-95,0,16,0,25082,0.618,35,0,16.38461538
6501,6250,36 months,6.91,10+ years,RENT,26000,Not Verified,Dec-10,debt_consolidation,234xx,VA,23.68,0,Jan-90,1,7,0,7236,0.433,12,0,20.98626374
6502,18225,60 months,13.49,3 years,MORTGAGE,49000,Verified,Nov-11,debt_consolidation,785xx,TX,10.21,0,Feb-04,4,9,0,0,0,24,0,7.774725275
6503,18000,36 months,7.88,10+ years,MORTGAGE,76296,Verified,Aug-10,home_improvement,431xx,OH,9.42,0,Aug-95,0,9,0,2219,0.081,38,0,15.0521978
6504,15000,36 months,14.61,8 years,MORTGAGE,156000,Verified,Nov-09,home_improvement,799xx,TX,7.83,0,Mar-94,2,15,0,6618,0.305,28,0,15.72527473
6505,7000,36 months,7.51,4 years,OWN,47000,Source Verified,Jul-10,debt_consolidation,917xx,CA,23.16,0,May-96,2,9,0,14209,0.177,20,0,14.21428571
6506,25000,36 months,15.37,4 years,MORTGAGE,450000,Verified,Jul-09,home_improvement,605xx,IL,0.13,0,Aug-02,2,5,0,4853,0.148,13,0,6.93956044
6507,14000,60 months,10.36,9 years,RENT,61000,Verified,Nov-10,other,210xx,MD,24.33,0,Jun-01,3,4,0,2576,0.206,22,0,9.450549451
6508,15000,36 months,6.03,n/a,RENT,84000,Verified,Oct-11,debt_consolidation,787xx,TX,6.43,0,Nov-65,1,17,0,12693,0.156,30,0,46.07142857
6509,24000,60 months,12.69,3 years,MORTGAGE,85000,Verified,Dec-11,credit_card,986xx,WA,25.54,0,Nov-89,0,10,0,29750,0.96,38,1,22.15659341
6510,7600,60 months,16.77,5 years,OWN,50000,Source Verified,Dec-11,small_business,572xx,SD,6.29,0,Apr-96,0,13,1,8646,0.406,27,0,15.71978022
6511,7000,36 months,7.88,2 years,MORTGAGE,66996,Not Verified,May-10,home_improvement,190xx,PA,21.14,0,Nov-99,1,16,0,10780,0.369,40,0,10.53296703
6512,1950,36 months,12.69,n/a,OWN,12000,Source Verified,Nov-11,other,140xx,NY,20.3,0,Nov-99,0,3,0,1482,0.353,8,0,12.04120879
6513,3400,36 months,12.21,1 year,RENT,147000,Not Verified,Jun-09,other,114xx,NY,22.56,0,Jun-97,0,8,0,67843,0.918,24,1,12.04120879
6514,6500,36 months,9.88,1 year,RENT,91700,Verified,Apr-10,credit_card,220xx,VA,15.06,0,Nov-03,0,13,0,6925,0.325,20,0,6.436813187
6515,5500,36 months,5.42,n/a,OWN,36000,Not Verified,Mar-11,debt_consolidation,706xx,LA,7.33,0,May-85,0,13,0,5271,0.075,30,0,25.92032967
6516,24000,36 months,10.62,2 years,MORTGAGE,43300,Verified,Apr-10,credit_card,018xx,MA,20.62,0,Feb-90,0,11,0,75250,0.48,21,0,20.23076923
6517,15000,60 months,19.36,3 years,MORTGAGE,120000,Verified,Mar-11,debt_consolidation,210xx,MD,5.74,1,Nov-96,2,5,1,548,0.609,25,0,14.37637363
6518,15000,60 months,17.93,10+ years,MORTGAGE,54000,Source Verified,May-10,debt_consolidation,813xx,CO,19.69,0,Sep-98,3,11,0,15570,0.771,20,0,11.7032967
6519,14000,36 months,11.14,3 years,RENT,42900,Not Verified,Oct-09,credit_card,741xx,OK,14.21,0,Aug-99,0,5,0,14447,0.688,18,0,10.2032967
6520,19200,60 months,18.64,8 years,MORTGAGE,126000,Verified,Sep-11,debt_consolidation,940xx,CA,9.71,1,Nov-93,0,7,0,11081,0.916,35,0,17.89285714
6521,19600,60 months,12.42,< 1 year,RENT,50000,Verified,Oct-11,debt_consolidation,852xx,AZ,22.99,0,May-97,2,9,0,14783,0.349,24,0,14.46703297
6522,21000,36 months,11.49,4 years,MORTGAGE,100800,Verified,Jul-10,other,201xx,VA,7.02,0,Sep-97,0,12,0,18598,0.702,24,0,12.87362637
6523,30000,60 months,19.29,10+ years,MORTGAGE,64800,Verified,Aug-11,debt_consolidation,259xx,WV,22.06,0,Apr-95,0,9,0,21892,0.514,33,0,16.39010989
6524,12000,36 months,7.49,6 years,RENT,36000,Not Verified,Jul-11,other,954xx,CA,26.93,0,Nov-04,0,8,0,2777,0.211,14,1,6.684065934
6525,9600,36 months,13.16,2 years,RENT,44000,Not Verified,Apr-09,debt_consolidation,604xx,IL,5.21,1,Jul-71,0,11,0,7491,0.713,23,0,37.88186813
6526,6000,36 months,8.94,3 years,OWN,50000,Not Verified,Nov-09,home_improvement,088xx,NJ,15.7,0,May-01,3,8,0,55,0.006,34,1,8.532967033
6527,12000,60 months,17.51,10+ years,RENT,70000,Not Verified,Jan-11,other,119xx,NY,20.69,0,Aug-95,2,9,0,18817,0.818,21,1,15.47252747
6528,18000,36 months,14.96,1 year,RENT,65000,Not Verified,Mar-10,credit_card,943xx,CA,20.95,0,Mar-98,0,6,0,19719,0.986,18,0,12.04120879
6529,30000,60 months,17.49,7 years,OWN,170004,Verified,May-11,other,117xx,NY,7.95,0,May-98,2,6,0,24120,0.699,13,0,13.04395604
6530,7500,36 months,13.49,< 1 year,RENT,36000,Source Verified,Sep-11,debt_consolidation,916xx,CA,7.5,0,Feb-01,0,4,0,10294,0.953,7,0,10.61538462
6531,9500,36 months,15.05,6 years,RENT,57700,Verified,Dec-08,debt_consolidation,554xx,MN,12.31,0,Mar-81,4,5,0,25506,0.989,17,0,27.8489011
6532,9200,36 months,6.03,10+ years,MORTGAGE,72996,Not Verified,Oct-11,other,028xx,RI,5.47,0,Nov-90,1,13,0,64492,0.073,42,0,20.98626374
6533,8000,60 months,13.06,2 years,RENT,135996,Verified,Apr-11,other,358xx,AL,6.1,1,May-87,1,5,0,20486,0.847,11,1,24
6534,12400,60 months,11.49,3 years,MORTGAGE,81000,Verified,Jun-10,credit_card,322xx,FL,9.02,0,Aug-99,0,6,0,12556,0.664,16,0,10.87087912
6535,12275,36 months,13.61,5 years,MORTGAGE,57500,Source Verified,Aug-10,debt_consolidation,774xx,TX,24,0,Apr-97,2,18,0,16507,0.734,38,0,13.37912088
6536,7600,36 months,16.29,n/a,MORTGAGE,48000,Source Verified,Sep-11,debt_consolidation,351xx,AL,21.2,0,Jan-99,2,11,0,11524,0.823,30,1,12.70879121
6537,9100,36 months,12.42,5 years,MORTGAGE,81000,Source Verified,Sep-11,debt_consolidation,850xx,AZ,16.89,0,Nov-99,0,10,0,7554,0.586,18,0,11.87362637
6538,12000,60 months,12.98,7 years,RENT,68000,Source Verified,Jan-11,credit_card,923xx,CA,20.4,0,Oct-98,0,8,1,3959,0.367,26,0,12.29395604
6539,10000,36 months,6.54,10+ years,RENT,58000,Source Verified,Jan-11,credit_card,606xx,IL,20.09,0,Nov-97,1,12,0,13997,0.515,25,0,13.21153846
6540,1500,36 months,13.92,< 1 year,RENT,30000,Not Verified,Nov-09,other,023xx,MA,19.08,0,Oct-00,3,7,0,2603,0.441,12,0,9.115384615
6541,4800,36 months,5.79,5 years,OWN,36000,Source Verified,Apr-11,other,209xx,MD,13.73,0,Aug-03,0,4,0,924,0.132,4,0,7.692307692
6542,16000,36 months,12.42,10+ years,MORTGAGE,80000,Verified,Nov-11,debt_consolidation,323xx,FL,23.91,0,May-93,0,12,0,30559,0.623,15,0,18.56593407
6543,4000,36 months,11.54,< 1 year,RENT,18500,Not Verified,Oct-07,debt_consolidation,850xx,AZ,1.3,0,Oct-99,2,1,0,258,0.86,2,1,8.027472527
6544,8000,36 months,14.96,10+ years,OWN,35004,Not Verified,May-10,other,115xx,NY,16.39,0,May-03,0,3,0,21440,0.916,6,0,7.024725275
6545,4000,36 months,12.68,5 years,OWN,65600,Not Verified,Apr-11,other,112xx,NY,5.47,0,Sep-02,2,5,0,2456,0.403,18,0,8.60989011
6546,15000,60 months,19.03,10+ years,MORTGAGE,86945,Verified,Nov-11,small_business,601xx,IL,10.72,1,Jul-94,3,6,1,5658,0.729,18,0,17.3956044
6547,35000,36 months,7.49,7 years,MORTGAGE,104000,Verified,Aug-11,other,958xx,CA,1.06,0,Jan-02,0,6,0,1293,0.045,16,0,9.612637363
6548,8000,36 months,10.99,2 years,RENT,37440,Not Verified,Feb-10,small_business,925xx,CA,14.36,0,Jun-00,0,6,0,4836,0.628,10,0,9.703296703
6549,28800,60 months,18.25,8 years,MORTGAGE,175000,Verified,Sep-11,debt_consolidation,160xx,PA,9.59,0,Jul-89,1,13,0,39326,0.617,32,0,22.24450549
6550,8000,60 months,16.82,< 1 year,MORTGAGE,62000,Source Verified,Oct-10,debt_consolidation,328xx,FL,22.32,0,Sep-90,4,19,0,19879,0.786,44,1,20.1510989
6551,1000,36 months,9.63,2 years,MORTGAGE,60000,Not Verified,Dec-08,debt_consolidation,958xx,CA,6.16,1,Mar-86,0,14,1,100,0.005,21,0,22.83241758
6552,6400,36 months,8.49,2 years,MORTGAGE,50000,Not Verified,Sep-11,debt_consolidation,130xx,NY,18.82,0,Jul-05,0,12,0,2399,0.192,16,0,6.18956044
6553,8000,60 months,15.21,1 year,RENT,37500,Not Verified,Jun-10,debt_consolidation,606xx,IL,10.78,0,May-97,3,10,0,8643,0.62,29,0,13.12912088
6554,15000,36 months,11.12,1 year,MORTGAGE,65000,Verified,Sep-10,small_business,701xx,LA,16.04,0,Jan-99,0,6,0,555,0.049,11,0,11.70604396
6555,5075,36 months,10.59,< 1 year,RENT,22800,Source Verified,May-11,debt_consolidation,423xx,KY,12.05,1,Nov-03,0,9,0,8629,0.654,13,0,7.521978022
6556,3900,60 months,13.8,10+ years,OWN,42000,Source Verified,Apr-11,car,655xx,MO,20.46,0,Feb-01,1,15,0,13825,0.532,24,0,10.19505495
6557,9500,36 months,9.76,4 years,MORTGAGE,64064,Not Verified,Mar-08,credit_card,197xx,DE,4.8,1,Apr-94,0,9,1,12226,0.456,15,0,13.96428571
6558,20000,60 months,14.27,1 year,MORTGAGE,97500,Verified,Nov-11,debt_consolidation,301xx,GA,12.58,0,Nov-03,0,8,0,19002,0.718,16,0,8.027472527
6559,3250,36 months,15.21,4 years,MORTGAGE,27996,Not Verified,Aug-10,debt_consolidation,352xx,AL,24.35,0,Jan-06,2,12,0,4346,0.385,16,0,4.596153846
6560,20000,36 months,15.27,< 1 year,RENT,130000,Source Verified,Dec-11,debt_consolidation,954xx,CA,9.67,0,Mar-00,2,17,0,26972,0.468,36,0,11.79120879
6561,20000,60 months,16.45,4 years,RENT,43656,Verified,Jun-10,credit_card,306xx,GA,6.51,0,Apr-01,1,4,0,3446,0.861,12,0,9.197802198
6562,4025,36 months,9.91,1 year,RENT,25000,Not Verified,Nov-11,small_business,809xx,CO,16.99,0,Sep-03,1,8,0,6314,0.799,15,0,8.195054945
6563,3000,36 months,11.71,< 1 year,RENT,36000,Source Verified,Nov-11,other,958xx,CA,17.67,0,Feb-06,0,7,0,6558,0.76,13,0,5.766483516
6564,14125,36 months,12.99,6 years,MORTGAGE,44400,Verified,Sep-11,debt_consolidation,633xx,MO,22.24,0,Sep-93,1,11,1,4728,0.675,34,0,18.06043956
6565,11200,36 months,7.14,9 years,MORTGAGE,46873.12,Not Verified,Mar-10,debt_consolidation,038xx,NH,9.81,0,Nov-86,1,14,0,13868,0.15,35,0,23.40934066
6566,4375,36 months,8.88,< 1 year,RENT,96000,Not Verified,Jan-11,credit_card,197xx,DE,20.69,0,Mar-94,1,12,0,39737,0.569,23,0,16.8956044
6567,10000,36 months,11.14,10+ years,MORTGAGE,120000,Not Verified,Nov-08,debt_consolidation,600xx,IL,7.92,0,Apr-92,1,5,0,111055,0.872,27,0,16.64285714
6568,4000,60 months,17.27,4 years,RENT,45000,Source Verified,Nov-11,other,331xx,FL,7.37,0,Feb-03,0,10,0,4786,0.825,13,1,8.777472527
6569,1800,36 months,10,1 year,MORTGAGE,50004,Source Verified,Feb-11,other,347xx,FL,18.93,0,Jan-01,1,11,0,2175,0.177,21,1,10.11813187
6570,5000,36 months,10.75,< 1 year,RENT,75000,Source Verified,Sep-10,wedding,920xx,CA,9.44,0,Dec-99,0,8,0,5523,0.299,14,0,10.78846154
6571,19200,36 months,7.88,3 years,RENT,60000,Source Verified,Sep-10,credit_card,112xx,NY,19.06,0,Oct-00,0,11,0,6412,0.223,30,0,9.950549451
6572,8000,36 months,12.18,2 years,RENT,13500,Verified,Nov-09,major_purchase,010xx,MA,1.24,0,Nov-02,0,2,0,707,0.353,7,0,7.024725275
6573,25000,36 months,13.98,7 years,MORTGAGE,87500,Source Verified,Aug-10,home_improvement,193xx,PA,4.47,0,Feb-99,7,7,0,6274,0.279,27,0,11.53571429
6574,2400,36 months,11.99,10+ years,RENT,70000,Not Verified,Jul-11,other,111xx,NY,14.73,0,Jul-90,1,13,0,18400,0.582,13,0,21.07142857
6575,10000,60 months,17.51,3 years,RENT,62000,Source Verified,Mar-11,small_business,305xx,GA,16.55,0,Jul-97,1,6,0,1845,0.329,9,0,13.71153846
6576,3600,36 months,13.99,10+ years,MORTGAGE,65000,Not Verified,Jun-11,home_improvement,631xx,MO,15.4,0,Jul-92,3,10,0,19450,0.468,15,0,18.98076923
6577,6000,36 months,15.65,1 year,RENT,35916,Not Verified,Nov-09,debt_consolidation,801xx,CO,22.89,0,Nov-02,1,12,0,5019,0.984,13,0,7.024725275
6578,4000,36 months,8.9,3 years,MORTGAGE,62000,Not Verified,Dec-11,small_business,917xx,CA,13.16,0,Jun-04,2,9,0,7171,0.523,13,0,7.524725275
6579,10000,36 months,12.42,10+ years,MORTGAGE,76500,Source Verified,Dec-11,major_purchase,131xx,NY,12.31,0,Oct-90,1,8,0,2195,0.191,32,0,21.23901099
6580,6000,36 months,10,5 years,MORTGAGE,85596,Source Verified,Feb-11,other,993xx,WA,14.36,0,Oct-98,0,10,0,22455,0.734,16,0,12.37912088
6581,20000,60 months,17.27,10+ years,RENT,56508,Source Verified,Dec-11,credit_card,941xx,CA,23.08,1,Jun-02,1,11,0,8831,0.609,21,1,9.532967033
6582,21000,60 months,14.27,3 years,MORTGAGE,140000,Source Verified,Oct-11,debt_consolidation,335xx,FL,10.16,0,Jun-90,0,12,0,27347,0.852,34,0,21.40659341
6583,6000,60 months,6.54,10+ years,OWN,70000,Source Verified,Oct-10,renewable_energy,331xx,FL,0.43,0,Aug-99,0,5,0,779,0.037,12,1,11.20604396
6584,17000,60 months,17.14,10+ years,RENT,51432,Verified,Apr-11,debt_consolidation,920xx,CA,23.52,0,Jun-98,0,10,0,19177,0.619,35,1,12.87637363
6585,5000,36 months,15.33,4 years,MORTGAGE,91000,Not Verified,May-10,medical,630xx,MO,16.27,0,Sep-96,2,14,0,36883,0.882,21,1,13.70879121
6586,2900,60 months,16.49,1 year,RENT,45600,Source Verified,Sep-11,car,180xx,PA,23.74,0,Oct-06,2,12,0,3534,0.417,16,0,4.934065934
6587,8500,36 months,12.42,3 years,MORTGAGE,62400,Verified,Oct-11,debt_consolidation,439xx,OH,8.94,1,Aug-01,0,5,0,3955,0.989,11,1,10.20054945
6588,28000,60 months,19.29,9 years,MORTGAGE,123000,Verified,Jun-11,credit_card,707xx,LA,18.45,0,Oct-97,2,14,1,30690,0.642,35,0,13.71153846
6589,12000,36 months,13.16,1 year,RENT,71000,Not Verified,Jun-09,debt_consolidation,926xx,CA,7.42,0,Dec-98,1,12,0,38963,0.794,38,0,10.53571429
6590,6250,60 months,11.49,1 year,MORTGAGE,31000,Not Verified,Jul-10,debt_consolidation,577xx,SD,14.36,0,May-95,0,12,0,22516,0.474,23,0,15.21978022
6591,4500,36 months,12.23,5 years,RENT,24000,Not Verified,Nov-10,debt_consolidation,481xx,MI,22.5,0,Oct-06,4,7,0,4113,0.7,10,0,4.098901099
6592,2500,36 months,11.36,6 years,OWN,30000,Not Verified,Apr-10,credit_card,164xx,PA,15.64,0,Oct-98,2,10,0,1166,0.353,16,0,11.53846154
6593,20000,36 months,14.84,4 years,RENT,68400,Verified,Aug-10,small_business,331xx,FL,22.56,0,Sep-98,1,8,0,22637,0.806,34,1,11.95604396
6594,26500,60 months,10.59,10+ years,MORTGAGE,81000,Verified,Sep-11,debt_consolidation,791xx,TX,11.19,0,Jan-95,0,8,0,6071,0.422,16,0,16.72252747
6595,9600,36 months,14.09,8 years,OWN,51996,Not Verified,Nov-10,other,913xx,CA,20.75,0,Oct-92,0,10,0,28798,0.889,41,0,18.1456044
6596,18825,36 months,19.13,2 years,MORTGAGE,118000,Not Verified,Aug-09,small_business,945xx,CA,20.82,2,Jan-83,1,5,0,164324,0.923,17,1,26.67307692
6597,10000,36 months,8.63,7 years,MORTGAGE,87000,Not Verified,Mar-08,debt_consolidation,452xx,OH,6.74,0,Nov-96,4,11,0,17794,0.348,33,1,11.36813187
6598,7300,60 months,9.62,< 1 year,MORTGAGE,65000,Not Verified,Dec-10,debt_consolidation,760xx,TX,21.84,0,Jun-90,2,15,0,7318,0.255,30,0,20.57142857
6599,5500,36 months,9.63,1 year,RENT,42230.04,Source Verified,Jan-09,educational,430xx,OH,15.63,0,Jul-97,1,14,0,21002,0.367,28,0,11.54395604
6600,6500,36 months,5.79,2 years,MORTGAGE,66000,Source Verified,Oct-10,debt_consolidation,605xx,IL,4.56,0,Jul-02,0,12,0,8748,0.15,26,1,8.28021978
6601,4000,36 months,15.21,2 years,RENT,30000,Verified,Oct-10,other,442xx,OH,19.28,0,Apr-04,6,2,0,0,0,8,0,6.521978022
6602,16000,60 months,15.33,6 years,MORTGAGE,48000,Not Verified,May-10,wedding,972xx,OR,17.25,0,Dec-00,3,10,0,29810,0.498,17,1,9.445054945
6603,8250,36 months,11.36,4 years,RENT,33000,Not Verified,Mar-10,debt_consolidation,980xx,WA,11.53,0,Dec-95,1,7,1,8467,0.47,10,0,14.2967033
6604,8450,36 months,10.62,1 year,RENT,38500,Not Verified,Apr-10,debt_consolidation,322xx,FL,16.71,0,Jan-96,0,5,0,8585,0.937,6,0,14.2967033
6605,10000,36 months,7.51,2 years,RENT,80000,Not Verified,Nov-11,debt_consolidation,018xx,MA,19.56,0,Jul-83,2,13,0,21640,0.722,23,1,28.43406593
6606,5000,36 months,16.29,10+ years,OWN,40000,Not Verified,Dec-11,car,206xx,MD,9.57,1,Jan-01,1,9,0,7470,0.922,13,0,10.95054945
6607,1000,36 months,12.29,< 1 year,RENT,17000,Not Verified,May-08,major_purchase,280xx,NC,1.62,0,Nov-06,1,1,0,984,0.984,1,0,1.502747253
6608,3500,36 months,14.42,< 1 year,OTHER,27568,Not Verified,Jul-09,moving,956xx,CA,14.67,1,Mar-95,3,8,0,10455,0.953,10,1,14.38461538
